cd_id,cd_type_id,cd_mileage_miles,cd_car_price,cd_year,cd_make,cd_model,cd_body_style,cd_doors,cd_mpg,cd_engine,cd_transmission,cd_drive_type,cd_fuel,cd_tank_size,cd_bed_style,cd_cab_style,cd_path_
0,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
1,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
2,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
3,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
4,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
5,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
6,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
7,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
8,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
9,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
10,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
11,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
12,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
13,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
14,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
15,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
16,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
17,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
18,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
19,0,14172,32589,2022,subaru,wrx,Sedan,4 Doors,19 City / 26 Hwy,4 Cyl,Manual,AWD,Gasoline,,,,Subaru_WRX_2020_33_18_260_20_4_70_58_180_18_AWD_5_4_4dr_vGz.jpg
